Sample Name	Protocol REF	Extract Name	Protocol REF	Protocol REF	Parameter Value[cleavage agent name]	Term Source REF	Term Accession Number	Protocol REF	Raw Spectral Data File	Protocol REF	Parameter Value[MS2 ion mass tolerance]	Unit	Term Source REF	Term Accession Number	Parameter Value[PrecursorIon mass tolerance]	Unit	Term Source REF	Term Accession Number	Parameter Value[cleavage agent name]	Term Source REF	Term Accession Number	Parameter Value[Maximum Missed Cleavages Setting]	Parameter Value[Fixed modification setting]	Parameter Value[Variable modification setting]	Protocol REF	Parameter Value[PSM-level q-value]	Derived Spectral Data File	Factor Value[disease]	Term Source REF	Term Accession Number
C52	sample pooling	20160515_ascites_pooled_C2	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C2_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C2.msf	gastric carcinoma	EFO	EFO_0000178
C57	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F1_160520102802.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C69	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F1_160520102802.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C73	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F1_160520102802.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C81	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F1_160520102802.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C83	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F1_160520102802.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C84	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F1_160520102802.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C57	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C69	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C73	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C81	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C83	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C84	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C57	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F3_RE.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C69	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F3_RE.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C73	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F3_RE.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C81	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F3_RE.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C83	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F3_RE.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C84	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F3_RE.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C57	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F4_160521000902.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C69	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F4_160521000902.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C73	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F4_160521000902.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C81	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F4_160521000902.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C83	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F4_160521000902.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C84	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F4_160521000902.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C57	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C69	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C73	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C81	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C83	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C84	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C57	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C69	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C73	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C81	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C83	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
C84	sample pooling	20160515_ascites_pooled_C3	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_C3_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_C3.msf	gastric carcinoma	EFO	EFO_0000178
N01	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N02	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N03	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N04	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N05	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N06	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F1.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N01	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N02	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N03	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N04	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N05	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N06	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F2.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N01	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N02	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N03	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N04	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N05	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N06	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F3.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N01	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N02	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N03	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N04	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N05	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N06	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F4.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N01	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N02	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N03	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N04	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N05	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N06	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F5.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N01	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N02	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N03	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N04	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
N05	sample pooling	20160515_ascites_pooled_N1	depletion	digestion	Trypsin	SEP	sep_00142	label-free	20160515_ascites_pooled_N1_F6.raw	identification	20	milli	MS	UO_0010009	15	parts per million	MS	UO_0000169	Trypsin	SEP	sep_00142	2	Carbamidomethyl	Oxidation	validation	0.01	20160515_ascites_pooled_N1.msf	cirrhosis of liver	EFO	EFO_0001422
